연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1145,일반음식점,이리추어탕,"세종특별자치시 보듬8로 31, 1층 (도담동, 도담YH)",세종특별자치시 도담동 579 ,,2025-06-09
1146,일반음식점,커피야,"세종특별자치시 시청대로 163, 1층 110호 (보람동, 리버에비뉴)",세종특별자치시 보람동 626-2 ,044 -865 -9599,2025-06-09
1147,일반음식점,구이구이,"세종특별자치시 노을3로 100, 1층 104호 (한솔동, 한솔프라자)",세종특별자치시 한솔동 928 ,,2025-06-09
1148,일반음식점,시골영양탕,세종특별자치시 금남면 발산2길 22-1,세종특별자치시 금남면 발산리 276 ,044 -866 -6969,2025-06-09
1149,일반음식점,명가 한우촌 갈비탕,"세종특별자치시 만남로 6, 2층 (고운동, 고운상가)",세종특별자치시 고운동 2006 ,044 -864 -1165,2025-06-09
1150,일반음식점,도담본가,"세종특별자치시 아름서길 3, 1층 111호 (아름동, 세종시 아카데미타워)",세종특별자치시 아름동 1318 111호,044 -867 -8002,2025-06-09
1151,일반음식점,허사또쭈꾸미,"세종특별자치시 시청대로 219, 4층 401,402,403,404,405호 (보람동, 시드니하트)",세종특별자치시 보람동 616-2 ,044 -864 -4545,2025-06-09
1152,일반음식점,"청와삼대(족발,보쌈,칼국수)","세종특별자치시 금남면 금남구즉로 194, 1층",세종특별자치시 금남면 호탄리 79-3 ,044 -866 -8116,2025-06-09
1153,일반음식점,크래프트 하우스,"세종특별자치시 한누리대로 589, 2층 206호 (도담동, 해피라움7)",세종특별자치시 도담동 655 ,044 -865 -1007,2025-06-09
1154,일반음식점,탄방골 참순대,"세종특별자치시 마음안1로 155, 주건축물제1동 2층 201,202호 (고운동, 성진프라자)",세종특별자치시 고운동 1369 ,,2025-06-09
1155,일반음식점,바이젠 레스토랑,"세종특별자치시 달빛로 43, 2층 204호 (종촌동, 금강빌딩)",세종특별자치시 종촌동 668 ,,2025-06-09
1156,일반음식점,카페블랙홀,"세종특별자치시 연동면 청연로 384, 1층 (주2동)",세종특별자치시 연동면 응암리 790-14 ,,2025-06-09
1157,일반음식점,데일리에스프레소,"세종특별자치시 금남면 용포로 77-4, 1층",세종특별자치시 금남면 용포리 135-11 ,042 -932 -1773,2025-06-09
1158,일반음식점,식껍 세종시 부강 맛집,"세종특별자치시 부강면 청연로 109, 1층",세종특별자치시 부강면 부강리 401-86 1층 ,044 -866 -1900,2025-06-09
1159,일반음식점,메모리팩토리,"세종특별자치시 바른7길 43, 주건축물제1동 1~3층 (아름동, 메모리팩토리)",세종특별자치시 아름동 895 ,044 -868 -9211,2025-06-09
1160,일반음식점,퐁당 세종시청점,"세종특별자치시 시청대로 219, 시드니하트 2층 210,211호 (보람동)",세종특별자치시 보람동 712 시드니하트 ,044 -866 -2340,2025-06-09
1161,일반음식점,오복식당,"세종특별자치시 보듬3로 7, 상가동 2층 11,12호 (도담동, 도램마을 8단지)",세종특별자치시 도담동 848 ,044 -868 -7789,2025-06-09
1162,일반음식점,충만치킨 종촌점,"세종특별자치시 달빛로 41, 주건축물제1동 1층 103,104호 (종촌동, 백두산빌딩)",세종특별자치시 종촌동 669 ,044 -864 -2399,2025-06-09
1163,일반음식점,에이트,"세종특별자치시 한누리대로 288, 2층 201,202,203,204호 (나성동, 세종갤러리밸류시티)",세종특별자치시 나성동 361-69 ,044 -862 -7008,2025-06-09
1164,일반음식점,the 대박포차,"세종특별자치시 도움1로 106, 1층 123,124호 (종촌동, 메가시티)",세종특별자치시 종촌동 672-1 ,,2025-06-09
1165,일반음식점,바림,"세종특별자치시 금남면 발산2길 22, 3동",세종특별자치시 금남면 발산리 26-1 3동 ,,2025-06-09
1166,일반음식점,생각이나서,"세종특별자치시 조치원읍 조치원5길 16, 1층",세종특별자치시 조치원읍 원리 2-7 1층 ,,2025-06-09
1167,일반음식점,한아름 보리밥,"세종특별자치시 보듬7로 94, 주건축물제1동 1층 102~106호 (아름동, 아름동 1-2생활권 근린생활시설4-1블럭)",세종특별자치시 아름동 1099 ,,2025-06-09
1168,일반음식점,종로맥가 세종고운점,"세종특별자치시 고운서길 20, 참샘빌딩 1층 107호 (고운동)",세종특별자치시 고운동 1716 참샘빌딩 ,,2025-06-09
1169,일반음식점,바쿠스,"세종특별자치시 도움8로 11-11, 1층 115호 (어진동, 어진프라자)",세종특별자치시 어진동 551 115호,044 -856 -0113,2025-06-09
1170,일반음식점,본죽&비빔밥 세종정부청사점,"세종특별자치시 절재로 194, 중앙타운 1층 112호 (어진동)",세종특별자치시 어진동 547 중앙타운 ,044 -2405-8907,2025-06-09
1171,일반음식점,뚱이네,"세종특별자치시 보듬3로 8-29, 해피라움6 1층 102-1호 (도담동)",세종특별자치시 도담동 677 해피라움6 ,044 -862 -6558,2025-06-09
1172,일반음식점,토스트하우스 2호점,세종특별자치시 조치원읍 홍익길 16 (2동),세종특별자치시 조치원읍 신안리 310-5 2동 ,,2025-06-09
1173,일반음식점,맛깔참죽,"세종특별자치시 조치원읍 새내로 69-1, 1층",세종특별자치시 조치원읍 남리 34-2 1층 ,044 -866 -6245,2025-06-09
1174,일반음식점,복앤향,"세종특별자치시 연서면 월성로 229, 1층 (1동)",세종특별자치시 연서면 월하리 1099 1동 1층 ,044 -868 -6071,2025-06-09
